,Internship Role,Company Name,Hiring Status,Stipend,Posted
1,Generative AI,CodeRoofs IT Solutions,Not actively hiring,"₹ 15,000-20,000 /month",Few hours ago
2,Artificial Intelligence (AI),"Ostello India Private Limited
Actively hiring",Actively hiring,"₹ 8,000-12,000 /month",Today
3,Machine Learning,"Nindo Education LLP
Actively hiring",Actively hiring,"₹ 8,000-20,000 /month",1 day ago
4,Engineering Gen-AI (RAG Frameworks),VerTune,Not actively hiring,"₹ 10,000-30,000 /month",1 day ago
5,AI,"Faaya
Actively hiring",Actively hiring,"₹ 25,000 /month + Incentives",2 days ago
6,Machine Learning,"K4 Media & Technologies
Actively hiring",Actively hiring,"₹ 10,000 /month",3 days ago
7,Artificial Intelligence (AI),"K4 Media & Technologies
Actively hiring",Actively hiring,"₹ 10,000 /month",3 days ago
8,AI,"Hooman Digital LLP
Actively hiring",Actively hiring,"₹ 10,000-12,000 /month",4 days ago
9,"Online Computer Vision Tutor (Machine Learning, Natural Language Processing, Deep Learning)","Narigiri's Connect To Universe Private Limited
Actively hiring",Actively hiring,"₹ 20,000-30,000 /month",7 days ago
10,AI Full Stack Developer,"Yardstick
Actively hiring",Actively hiring,"₹ 5,000-15,000 /month",7 days ago
11,Artificial Intelligence (AI),"GROWSTACK
Actively hiring",Actively hiring,"₹ 12,000 /month",7 days ago
12,Machine Learning,"Jivichem Synthesis Private Limited
Actively hiring",Actively hiring,"₹ 22,000 /month",1 week ago
13,AI Project/Program Manager,"Resolute AI Software Private Limited
Actively hiring",Actively hiring,"₹ 8,000-12,000 /month",1 week ago
14,AI Research,"K4 Media & Technologies
Actively hiring",Actively hiring,"₹ 10,000 /month",1 week ago
15,Computer Vision,"K4 Media & Technologies
Actively hiring",Actively hiring,"₹ 10,000 /month",1 week ago
16,Data Science/AI Content Specialist,"Accredian
Actively hiring",Actively hiring,"₹ 15,000 /month",2 weeks ago
17,Speech Synthesis,"Cynapto Technologies Private Limited
Actively hiring",Actively hiring,"₹ 10,000-15,000 /month",2 weeks ago
18,Machine Learning,"Salesbee Incorporation
Actively hiring",Actively hiring,"₹ 12,000 /month + Incentives",2 weeks ago
19,Artificial Intelligence (AI),"Smart Prepper
Actively hiring",Actively hiring,"₹ 10,000-20,000 /month",2 weeks ago
20,Artificial Intelligence (AI),"Across The Globe (ATG)
Actively hiring",Actively hiring,"₹ 4,000-12,000 /month",2 weeks ago
21,C++ Developer,"Wobot Intelligence Private Limited
Actively hiring",Actively hiring,"₹ 12,500 /month",2 weeks ago
22,3D Character Sculpting Artist/Designer/Modeller,"PixaCrafts
Actively hiring",Actively hiring,"₹ 10,000 /month",2 weeks ago
23,Machine Learning,"MAAI Inc (San Francisco, United States)
Actively hiring",Actively hiring,"₹ 40,000-60,000 /month",2 weeks ago
24,Artificial Intelligence (AI),"Induct Finance (Quasar Pulse Technology Private Limited)
Actively hiring",Actively hiring,"₹ 25,000 /month",2 weeks ago
25,Servicenow Support Trainee,"Oblytech
Actively hiring",Actively hiring,"₹ 5,000-10,000 /month",2 weeks ago
26,Machine Learning,"Analytics Jobs
Actively hiring",Actively hiring,"₹ 25,000 /month",3 weeks ago
27,AI Researcher/AI Developer,"Girl Power Talk
Actively hiring",Actively hiring,"₹ 10,000-20,000 /month",3 weeks ago
28,Artificial Intelligence (AI),CollegeTips Ed Tech Media Private Limited,Not actively hiring,"₹ 10,000 /month",3 weeks ago
29,Machine Learning,"MentorBoxx
Actively hiring",Actively hiring,"₹ 25,000 /month",3 weeks ago
30,Artificial Intelligence (AI),"MentorBoxx
Actively hiring",Actively hiring,"₹ 25,000 /month",3 weeks ago
31,AI Agent Development - LLM Training/Adjustments And API Integration,Bijon Trading Private Limited (Genotek),Not actively hiring,"₹ 10,000-25,000 /month",3 weeks ago
32,Artificial Intelligence (AI),"XAQUA Inc. (Santa Clara, United States)
Actively hiring",Actively hiring,"₹ 15,000-30,000 /month",3 weeks ago
33,AI Developer,"Yardstick
Actively hiring",Actively hiring,"₹ 5,000-10,000 /month",3 weeks ago
34,Machine Learning,"Qriocity Ventures Private Limited
Actively hiring",Actively hiring,"₹ 15,000-25,000 /month",3 weeks ago
35,Artificial Intelligence (AI),"Buddha Education Association Incorporation
Actively hiring",Actively hiring,"₹ 15,000 /month",3 weeks ago
36,Machine Learning,"Buddha Education Association Incorporation
Actively hiring",Actively hiring,"₹ 18,000 /month",3 weeks ago
